sample_id,id,tweet,predicted_intent,diversity_bucket,human_label,human_escalate,notes
1,gene_2269196,"@115821 @AmazonHelp Really bad experience.  Frustrated. Paid additional charges for 1 day delivery, product was supposed to be delivered yesterday. Contacted @14046 7 times by now, no satisfactory explanation. Seems @115850 has no coordination with Logistics partners. https://t.co/RHjcY7AC38",general_complaint_or_feedback,1,general_complaint_or_feedback,Y,
2,devi_1824744,"@AmazonHelp with an amazon fire tablet, can I tap on a photo and see a map of where a photo was taken?",device_and_digital_support,2,general_complaint_or_feedback,N,
3,orde_1541887,@AmazonHelp @115821 4th item in a row that hasn’t arrived next day even though it’s been ordered with prime account 🤯🙄 #payingfornothing!,order_status_inquiry,3,general_complaint_or_feedback,Y,
4,orde_972808,@115850 @135789 @146956 @2517 @115821 @115858 @AppleSupport @AmazonHelp when will i get my Apple watch,order_status_inquiry,3,order_status_inquiry,Y,
5,orde_259935,"@AmazonHelp At this point, I'm tempted to cancel order and just go to a brick &amp; mortar retailer to ensure I have the items I need today.",order_cancellation,0,order_cancellation,N,
6,prod_811609,@115821 I didn't even get the fire stick I got 2 trash cans and one is broken?!? @AmazonHelp https://t.co/jzTbSf7whc,product_issue,0,general_complaint_or_feedback,N,
7,ship_569127,"@AmazonHelp Extremely displeased. I have sat here all day waiting for a PRIORITY PACKAGE supposed arrive TODAY by 9PM, but no one knows where it is and NO WORD ON IT BEING DELAYED. Why pay for  priority shipping when you are just going to lose my order and not tell me about it?",shipping_delay_complaint,3,general_complaint_or_feedback,N,
8,orde_2821103,"@AmazonHelp Found a bug in the Echo software. If you cancel an alarm right before it goes off, it will cancel and start at the same time and then won't react to turn it off because it thinks there is no alarm. Please forward to the Echo team, thank you. :) https://t.co/lagwTqSJPJ",order_cancellation,3,general_complaint_or_feedback,N,
9,orde_2790632,@AmazonHelp I need your help ! My Order tracking ID 221207057578 delivery date 14th March. I had ordered as a guest and need the invoice of this order as my product is in warranty now and need to repair it. (__email__ / 8908038433 received @ Bangalore Manyata Tech Park),order_status_inquiry,1,order_status_inquiry,Y,
10,acco_314767,Help @AmazonHelp someone changed my email and password for my account. I can’t login now. https://t.co/EqOSaqluIC,account_access,4,account_access,Y,
11,refu_1253983,@AmazonHelp hey i was order a hair oil on 25 july 2017 and i not recieve any delevery or refund please help,refund_request,2,refund_request,Y,
12,acco_870040,Hello @AmazonHelp @115830 could you help me? It's saying I've been locked out of my account since the address wasn't correct.,account_access,1,account_access,N,
13,ship_842171,"Bought something on the 18th and paid for next day shipping, but yet I’m not getting it until Monday 🤔🤔 @AmazonHelp please explain",shipping_delay_complaint,2,general_complaint_or_feedback,Y,
14,devi_942492,@115850 @AmazonHelp Join Kindle Unlimited button is grayed out for me.,device_and_digital_support,1,device_and_digital_support,N,
