tweet,intent,draft_reply,judge_overall,human_relevance,human_empathy,human_actionability,human_conciseness,human_overall
"@115821 @AmazonHelp Really bad experience.  Frustrated. Paid additional charges for 1 day delivery, product was supposed to be delivered yesterday. Contacted @14046 7 times by now, no satisfactory explanation. Seems @115850 has no coordination with Logistics partners. https://t.co/RHjcY7AC38",general_complaint_or_feedback,"@User I’m really sorry you’ve had to deal with this delay and the extra charge for 1‑day delivery, especially after reaching out multiple times without a clear answer. Please DM me your order number or the email linked to your account so I can pull up the shipment, check with ou…",5,4,2,4,1,5
"@AmazonHelp with an amazon fire tablet, can I tap on a photo and see a map of where a photo was taken?",general_complaint_or_feedback,"{
  ""reply"": ""@User Currently the Fire tablet’s built‑in Gallery app doesn’t show a map when you tap a photo, but you can enable location tagging and view the map in Google Photos. Please go to Settings → Apps & Notifications → Photos → Permissions and turn on Location, then ope…",4,5,5,4,5,4
@AmazonHelp @115821 4th item in a row that hasn’t arrived next day even though it’s been ordered with prime account 🤯🙄 #payingfornothing!,general_complaint_or_feedback,"I’m really sorry you’ve had multiple Prime orders delayed – that’s definitely not the experience we want for you. To look into what’s happening, could you please send us a direct message with the order number(s) for the items that haven’t arrived? Once we have that, we’ll invest…",5,1,2,5,4,3
@115850 @135789 @146956 @2517 @115821 @115858 @AppleSupport @AmazonHelp when will i get my Apple watch,order_status_inquiry,"@user I’m sorry you’re waiting for your Apple Watch. To give you an accurate update, could you please DM me your order number? Once I have it, I’ll check the status and let you know the expected delivery date. Thanks!",3,5,3,3,5,2
"@AmazonHelp At this point, I'm tempted to cancel order and just go to a brick &amp; mortar retailer to ensure I have the items I need today.",order_cancellation,"@Customer I hear you—getting your items today is important. If you’d like to cancel the order, you can start the process here: https://www.amazon.com/gp/help/contact-us. Let us know if you need any further assistance. ^JB",4,4,2,4,3,1
@115821 I didn't even get the fire stick I got 2 trash cans and one is broken?!? @AmazonHelp https://t.co/jzTbSf7whc,general_complaint_or_feedback,@115821 I’m really sorry you received trash cans instead of your Fire Stick and that one is damaged. Please DM us your order number so we can arrange a replacement and investigate the mix‑up right away.,2,5,4,2,4,2
"@AmazonHelp Extremely displeased. I have sat here all day waiting for a PRIORITY PACKAGE supposed arrive TODAY by 9PM, but no one knows where it is and NO WORD ON IT BEING DELAYED. Why pay for  priority shipping when you are just going to lose my order and not tell me about it?",general_complaint_or_feedback,"@CustomerHandle I’m truly sorry you’ve been left waiting all day with no update on your priority package. To investigate this right away, could you please DM us your order number (or the tracking ID) so we can check the status and get you a clear answer? ^HM",5,3,5,5,4,3
"@AmazonHelp Found a bug in the Echo software. If you cancel an alarm right before it goes off, it will cancel and start at the same time and then won't react to turn it off because it thinks there is no alarm. Please forward to the Echo team, thank you. :) https://t.co/lagwTqSJPJ",general_complaint_or_feedback,"Hi there! Thanks for taking the time to report this Echo alarm behavior. We’re sorry for the hassle and have already sent the details to our Echo software team for a deeper look. If you notice anything else that seems off, please let us know. ^BE",2,4,1,2,5,3
@AmazonHelp I need your help ! My Order tracking ID 221207057578 delivery date 14th March. I had ordered as a guest and need the invoice of this order as my product is in warranty now and need to repair it. (__email__ / 8908038433 received @ Bangalore Manyata Tech Park),order_status_inquiry,"@User I’m sorry you’re having trouble getting the invoice for your order. To locate your guest order and send you the invoice, please DM us the email address and phone number you used when placing the order (the ones you mentioned: __email__ and 8908038433). Once we verify, we’l…",3,4,5,3,3,4
Help @AmazonHelp someone changed my email and password for my account. I can’t login now. https://t.co/EqOSaqluIC,account_access,"{
{
  ""reply"": ""I’m really sorry you’re locked out of your account—let’s get this sorted. Please use the secure account recovery link below to verify your identity and reset your email and password: https://www.amazon.com/ap/accountrecovery.",2,5,4,2,4,1
@AmazonHelp hey i was order a hair oil on 25 july 2017 and i not recieve any delevery or refund please help,refund_request,"@CustomerHandle I’m really sorry you haven’t received your hair oil or a refund. To look into this, could you please share your order number? Once I have it I can check the delivery status and start a refund if needed. You can also DM the details for privacy. ^SB",4,3,5,4,2,5
Hello @AmazonHelp @115830 could you help me? It's saying I've been locked out of my account since the address wasn't correct.,account_access,"@115830 I’m sorry you’re locked out—let’s get this sorted. Please visit our account recovery page (https://www.amazon.com/account-recovery) and follow the steps to verify your address and reset your access. If you don’t see the email, check your spam folder. Let me know if you n…",5,4,3,4,5,4
"Bought something on the 18th and paid for next day shipping, but yet I’m not getting it until Monday 🤔🤔 @AmazonHelp please explain",general_complaint_or_feedback,"Hi there, I’m really sorry that your next‑day shipment isn’t arriving as promised. To look into this for you, could you please send me your order number via DM? Once I have it I’ll check the carrier status and get back to you with an update. ^JD",1,2,4,5,2,5
@115850 @AmazonHelp Join Kindle Unlimited button is grayed out for me.,device_and_digital_support,"{
  ""reply"": ""@115850 I’m sorry the Join Kindle Unlimited button appears grayed out for you. Could you tell me which device or app you’re using and confirm you’re signed in with the",5,5,2,3,3,3
@AmazonHelp And then I just had a guy repeatedly interrupt me and tell me that I wouldn’t be getting refunded for 50 minutes before I demanded to speak to a manager at which point he miraculously managed to process the refund but I wasn’t able to keep my prime membership.,refund_request,@User I’m really sorry you had to endure that interruption and the confusion around your refund. I’d like to help get your Prime membership reinstated right away. Could you please DM us the email address linked to your account (or the order number for the recent refund) so we ca…,4,2,5,4,2,4
@AmazonHelp I contacted support asking about a missing shipment. Your agent refunded my order without my permission and now refuses to replace the order at sale price because it was refunded.,refund_request,"@CustomerHandle I’m really sorry that the refund was processed without your consent and that you’re now unable to get a replacement at the original sale price. original price. Please send me a direct message with your order number so I can review what happened, correct the refun…",5,3,2,2,4,4
@AmazonHelp I bought a GoPr from @115821 but it doesn't work. Please can you help/get in touch. I can't go through the returns centre.,general_complaint_or_feedback,@User I’m sorry to hear the GoPr you received isn’t working. Could you please send your order number via a direct message so we can check the details and arrange a replacement or refund for you? You can also start a live chat here: https://www.amazon.com/contact-us . ^AM,3,2,3,5,5,5
@AmazonHelp hi currently wondering  why i can't cancel my Amazon echo plus which btw i ordered to be delivered tonight but now says Tuesday. And it won't let me cancel when i could order the 2nd gen and get it tonight.,general_complaint_or_feedback,"@UserHandle Hi there! I’m sorry you’re running into trouble cancelling the Echo Plus. If the order hasn’t entered the shipping process yet, you can try to cancel it from Your Orders → Cancel Items. If that option isn’t showing, it likely means the item is already being prepared …",4,4,2,2,1,3
"@AmazonHelp Ordered cable I needed urgently for evening delivery, delayed due to “external factors”. Map showed driver 200m away for an hour, making “a delivery before yours”!",general_complaint_or_feedback,"@User I’m really sorry your cable arrived late and the driver appeared stuck for so long. To investigate this, could you please share your order number or the latest tracking link? I’ll escalate it to our delivery team right away.",2,5,4,3,1,4
@AmazonHelp can't cancel the membership either as they blocked my account. Unacceptable to block someone yet still charge prime membership!,general_complaint_or_feedback,@UserHandle I’m really sorry you’re facing a blocked account while still being charged for Prime—that’s unacceptable and we’ll fix it. Please send us a direct message with the email address linked to your account (no password) or any recent order ID so we can verify your identit…,5,1,5,2,5,2
@AmazonHelp I am continuously being charged for Amazon Prime which I cancelled BEFORE the trial was over &amp; it says I wasn't charged but was. I tried calling a cust svc number several times and got a bunch of offers but no live person.,order_cancellation,"@UserHandle I’m really sorry you’re seeing unexpected Prime charges after you cancelled the trial. Let’s get this sorted right away — please DM us your order number or the email on your account so we can review the charges, confirm the cancellation status, and start a refund if …",2,1,1,4,4,5
@AmazonHelp I love my Echo and want to use it in the UK. Will it work there?,general_complaint_or_feedback,@UserName Thanks for reaching out! Your Echo bought in the US will work in the UK as long as you use a suitable UK power adapter and connect to a local Wi‑Fi network. You can also update the device’s country setting in the Alexa app for full feature availability. For step‑by‑ste…,3,5,1,5,5,2
@AmazonHelp @115851 @115821 Never realized that Amazon would  treat a customer this bad who remained staunchly loyal to it over the past several years. Please let me know how to delete my amazon account and prime membership 2/2,prime_membership,"@User I’m really sorry to hear you’re feeling this way after years of loyalty. To close your Amazon account and cancel your Prime membership, please go to the ‘Close Your Amazon Account’ page here: https://www.amazon.com/gp/help/customer/display.html?nodeId=508088 and follow the…",2,4,2,1,3,3
"sick of @115830  @AmazonHelp item meant to be delivered on Friday,driver couldn't be arsed getting out of van &amp; marked as nondelivery (1)",general_complaint_or_feedback,@user I’m really sorry your Friday delivery wasn’t completed. Please DM us your order number or use this link to reschedule or request a refund: https://www.amazon.com/contact-us . We’ll make sure it gets to you promptly. ^AF,4,5,5,5,4,2
@AmazonHelp What I need right now is for the money to be refunded to my account and my prime membership canceled.,general_complaint_or_feedback,@User I’m sorry for the inconvenience. I can help you get a refund for the Prime fee and cancel your membership. Please DM us your registered email or order number so we can verify and process this right away. ^AB,5,3,3,4,2,4
"What’s the point of paying for PRIME @AmazonHelp , when I’ve received 3 notifications today informing me that 3 separate items won’t now be delivered within the specified time? This is despite also receiving ‘we will deliver items today &amp; tomorrow’ messages! #amazongoingdownhill",general_complaint_or_feedback,"@UserHandle I’m really sorry you’re dealing with these delays despite your Prime benefits. To investigate, could you please send us the order numbers for the three items via DM? We’ll look into each shipment and work to get them delivered as quickly as possible.",1,4,4,5,5,5
@AmazonHelp how can i my track my order? my track id number is 20174042201 please check and update,order_status_inquiry,"@User Thanks for reaching out! You can check the status of your order with tracking ID 20174042201 here: https://www.amazon.com/gp/your-account/order-history/ref=nav_orders_first. If you need any further assistance, just let us know. ^CH",1,2,4,3,2,1
"@169613 @AmazonHelp He he Amazon prime free with this, itself is worth it :)",prime_membership,"@169613 That's awesome to hear you're enjoying your free Prime trial! If you ever need help managing your membership or have any questions about your benefits, just let us know. You can view and update your Prime details here: https://www.amazon.com/prime. ^AE",2,5,5,4,3,1
@AmazonHelp Found my package but in someone else’s house. The Amazon delivered it  to some other person and upated as handed over to customer directly.,general_complaint_or_feedback,@UserHandle I’m really sorry your package was delivered to the wrong house. I’ve just sent you a direct message with instructions on how to retrieve it and we’re opening an investigation into the delivery error. Please check your DMs and let us know if you need further help.,5,2,3,2,4,5
@AmazonHelp I cannot load a return label so how am I meant to return an item?,general_complaint_or_feedback,"@User I’m sorry you’re unable to load the return label. Please go to Your Orders, locate the item, select 'Return or replace items', and follow the on‑screen steps to generate a new label. If the label still won’t appear, you can reach our support team directly here: https://t.c…",3,3,4,5,3,4
